komentar_bersih,prepos_text,polarity_score,sentiment,labeling_polarity,predicted_sentiment,sentimen_NaiveBayes
apa aniss itu memang pintar kalo bicara tapi maaf untuk kerja jauh saya tau selama tahun di jakarta jka di banding ahok jauh kemana mana,"['aniss', 'pintar', 'kalo', 'bicara', 'maaf', 'kerja', 'tau', 'jakarta', 'jka', 'banding', 'ahok', 'mana']",-3,negatif,-1,-1,negatif
waduh jadi oleng ke anis nih sekarang maaf pak prabowo saya oleng ke anis tapi saya sudah berjuang buat memenangkan bapak di dua pemilu dulu saya pindah haluan dulu ke anis,"['oleng', 'anis', 'nih', 'maaf', 'prabowo', 'oleng', 'anis', 'juang', 'menang', 'milu', 'pindah', 'haluan', 'anis']",-4,negatif,-1,-1,negatif
sepertinya kurang persiapan paslon no 2 ini kalah telak dengan pak anis,"['siap', 'paslon', 'no', '2', 'kalah', 'telak', 'anis']",-6,negatif,-1,-1,negatif
yang dulu memilih pabowo semuasekarang beralih ke anis,"['pilih', 'pabowo', 'semuasekarang', 'alih', 'anis']",-2,negatif,-1,-1,negatif
saya harap indak banyak dari paslon presiden indonesia tolong jangan datang ke rakyat hanya waktu kalian membutuhkan suaranya saja tapi datanglah ke rakyat seperti halnya kalian datang untuk mendapatkan suaranya dan janji yang kau ucapkan adalah hutang yang harus dibayar bruntuk yang sekarang sedang menyalonkan diri saya juga berharap jangan bohongi rakyat dengan janji semanis madu saja dan jangan pernah lupa dengan siapa yang dulu memilihmu serta jangan lupa dengan asal mulamu sebelum menjadi pejabatbruntuk kpu tetap adil dan jangan pernah condong ke salah satu paslonbrsemangat,"['harap', 'indak', 'paslon', 'presiden', 'indonesia', 'tolong', 'rakyat', 'butuh', 'suara', 'datang', 'rakyat', 'hal', 'suara', 'janji', 'kau', 'ucap', 'hutang', 'bayar', 'bruntuk', 'salon', 'harap', 'bohong', 'rakyat', 'janji', 'seman', 'madu', 'lupa', 'pilih', 'lupa', 'mula', 'pejabatbruntuk', 'kpu', 'adil', 'condong', 'salah', 'paslonbrsemangat']",-39,negatif,-1,-1,negatif
khawatir apa bro anis saja dukung rohingya masuk ke indonesia bersama partai pksklo dia kpilih makin banyak rohingya masuk ke indonesia dan indonesia akan dijajah kayak platina dan isriwil,"['khawatir', 'bro', 'anis', 'dukung', 'rohingya', 'masuk', 'indonesia', 'partai', 'pksklo', 'kpilih', 'rohingya', 'masuk', 'indonesia', 'indonesia', 'jajah', 'kayak', 'platina', 'isriwil']",-14,negatif,-1,-1,negatif
usertnvntbebener itu ada datanya kok lewat anis pengungsi rohingya masuk indonesia jadi khawatir gue jika para pengungsi ini menetap di indonesia,"['usertnvntbebener', 'data', 'anis', 'ungsi', 'rohingya', 'masuk', 'indonesia', 'khawatir', 'gue', 'ungsi', 'tetap', 'indonesia']",-7,negatif,-1,-1,negatif
saya sebagai masyrakat awan menilaidebat cawapres perdana yang unggul adlah cawpres nol makanx saya mengharap menangkan anis baswedan amin,"['masyrakat', 'awan', 'menilaidebat', 'cawapres', 'perdana', 'unggul', 'adlah', 'cawpres', 'nol', 'makanx', 'harap', 'menang', 'anis', 'baswedan', 'amin']",-4,negatif,-1,1,positif
sudah 2x nyalon gagal mulu makin yakin pak anis yang menang 2024,"['2x', 'nyalon', 'gagal', 'mulu', 'anis', 'menang', '2024']",-4,negatif,-1,-1,negatif
bagaimana ini debat pragib sepertinya kebingungan pak anis tetap menjadi pilihan 2024,"['debat', 'pragib', 'bingung', 'anis', 'pilih', '2024']",1,positif,1,1,positif
anis memang top 1,"['anis', 'top', '1']",5,positif,1,1,positif
pak anis cocok jadi presiden wawasan sangat luas dan semua di buktikan dengan data beliau selalu jadi yang terbaik,"['anis', 'cocok', 'presiden', 'wawas', 'luas', 'bukti', 'data', 'beliau', 'baik']",3,positif,1,1,positif
satu kata buat anis baswedan canggih 2 kata buat profesor asam sulfat belajar ngomong cawapres kok ikut teriak2 dasar otak kosong,"['anis', 'baswedan', 'canggih', '2', 'profesor', 'asam', 'sulfat', 'ajar', 'ngomong', 'cawapres', 'teriak2', 'dasar', 'otak', 'kosong']",-8,negatif,-1,-1,negatif
pandai kali cakap pak anis namun bukan seorang eksekutor,"['pandai', 'kali', 'cakap', 'anis', 'eksekutor']",-2,negatif,-1,-1,negatif
anis baswedan pandai merangkai kata tapi tidak mampu merangkai kota,"['anis', 'baswedan', 'pandai', 'rangkai', 'rangkai', 'kota']",-9,negatif,-1,-1,negatif
prabowo presiden anis wakil presiden ganjar mentri sosial cocok dahh,"['prabowo', 'presiden', 'anis', 'wakil', 'presiden', 'ganjar', 'tri', 'sosial', 'cocok', 'dahh']",10,positif,1,1,positif
kalau masalah pertahanan prabowo lah jagonya sudah pengalaman ganjar anis cuma retorika saja,"['tahan', 'prabowo', 'jago', 'alam', 'ganjar', 'anis', 'retorika']",5,positif,1,1,positif
kapan lagi kita punya capres kayak pak anis,"['capres', 'kayak', 'anis']",-3,negatif,-1,-1,negatif
pakai anis dong,"['pakai', 'anis']",0,netral,0,1,positif
semoga pasangan anis sebagai calon pemimpin senantiasa diberikan keberkahan kebijaksanaan dan kekuatan untuk memimpin dengan adil dan bertanggung jawab semoga langkah mereka membawa kemajuan dan kesejahteraan bagi masyarakat,"['moga', 'pasang', 'anis', 'calon', 'pimpin', 'senantiasa', 'berkah', 'bijaksana', 'kuat', 'pimpin', 'adil', 'tanggung', 'moga', 'langkah', 'bawa', 'maju', 'sejahtera', 'masyarakat']",7,positif,1,1,positif
like buat pak anisgt,"['like', 'anisgt']",0,netral,0,0,netral
pak anis lebih unggul,"['anis', 'unggul']",0,netral,0,0,netral
pilih yang lantang tegas tidak perlu manis2 tidak perlu mendgongeng mau ini itu,"['pilih', 'lantang', 'manis2', 'mendgongeng']",-2,negatif,-1,-1,negatif
memang bagus ada debat capres jadi sdikit bisa lihat orgnya bagaimana tadinya mau dukung pak prabowo tapi sekarang antara anis dan ganjar bismillah semoga next presiden bisa membawa perubahan dan kemajuan untuk negara amin,"['bagus', 'debat', 'capres', 'sdikit', 'lihat', 'orgnya', 'dukung', 'prabowo', 'anis', 'ganjar', 'bismillah', 'moga', 'next', 'presiden', 'bawa', 'ubah', 'maju', 'negara', 'amin']",14,positif,1,1,positif
bpak prabowo sudah mulai panass dan menanggapi jawaban bpk anis,"['bpak', 'prabowo', 'panass', 'tanggap', 'bpk', 'anis']",3,positif,1,1,positif
pak anis aku bocahmu,"['anis', 'bocah']",0,netral,0,-1,negatif
madura anis,"['madura', 'anis']",0,netral,0,0,netral
jawaban pak prabowo kurang malah jawaban pak anis lah yang mantapbrbrsy berharap kpu yang berperan adil seadil adilnyatidak ada kecurangan,"['prabowo', 'anis', 'mantapbrbrsy', 'harap', 'kpu', 'peran', 'adil', 'adil', 'adilnyatidak', 'curang']",-3,negatif,-1,1,positif
ya lah kan anis pintar mengomong doang,"['ya', 'anis', 'pintar', 'omong', 'doang']",0,netral,0,-1,negatif
lohh ini komentar kok pada muji pak anis sihh mana suara untuk calon nmor 2 amp 3,"['lohh', 'komentar', 'muji', 'anis', 'sihh', 'suara', 'calon', 'nmor', '2', 'amp', '3']",1,positif,1,1,positif
pak anis yang terbaik semoga menang,"['anis', 'baik', 'moga', 'menang']",2,positif,1,1,positif
tahun lalu saya pilih prabowox ini saya pilih pak anisamin,"['pilih', 'prabowox', 'pilih', 'anisamin']",-4,negatif,-1,-1,negatif
jangan di kawarkan jika pak anis menang insyaallaah amin,"['kawarkan', 'anis', 'menang', 'insyaallaah', 'amin']",-1,negatif,-1,1,positif
tutur bahasa dari pak prabowo kurang luwes beda pak anis beliau menjawab dengan tutur bhsa yang simple jadi jujur progam kerja pragib lom paham banget untuk pribadi saya,"['bahasa', 'prabowo', 'luwes', 'beda', 'anis', 'beliau', 'bhsa', 'simple', 'jujur', 'progam', 'kerja', 'pragib', 'lom', 'paham', 'banget', 'pribadi']",-1,negatif,-1,-1,negatif
dari kemarin masih ragu mau memilih siapa setelah menonton ini jadi semakin yakin pak anis jawaban nya mematikan konseptor ulung brilian jawaban berdasarkan data,"['kemarin', 'ragu', 'pilih', 'tonton', 'anis', 'nya', 'mati', 'konseptor', 'ulung', 'brilian', 'dasar', 'data']",-13,negatif,-1,-1,negatif
setelah melihat debat ini saya memutuskan untuk memilih pak anis,"['debat', 'putus', 'pilih', 'anis']",-1,negatif,-1,-1,negatif
pak anis pandai mencuci otak dan mempengaruhi orang,"['anis', 'pandai', 'cuci', 'otak', 'pengaruh', 'orang']",1,positif,1,1,positif
hatihati dengan ucapan tak ada yang mustahil bagi allah kalau menghendaki pak anis yang menang tak ada yang menghalangi,"['hatihati', 'ucap', 'mustahil', 'allah', 'anis', 'menang', 'halang']",0,netral,0,1,positif
kemarin jelas pragib serba bingung di debat ini kalau di ring tinju deh kok di ronde pertama anis unggul telak,"['kemarin', 'pragib', 'serba', 'bingung', 'debat', 'ring', 'tinju', 'deh', 'ronde', 'anis', 'unggul', 'telak']",-5,negatif,-1,-1,negatif
mantap anis,"['mantap', 'anis']",5,positif,1,1,positif
anis baswedan pimpin langsung 2024,"['anis', 'baswedan', 'pimpin', 'langsung', '2024']",3,positif,1,1,positif
anis pintar mengomong tapi tidak pintar bergerak omong kosong doang,"['anis', 'pintar', 'omong', 'pintar', 'gerak', 'omong', 'kosong', 'doang']",-12,negatif,-1,-1,negatif
pak anis memang pantas jadi ri 1,"['anis', 'ri', '1']",0,netral,0,1,positif
yang menawarkan perubahan pak anis prabowo melanjutkan program jokowi,"['tawar', 'ubah', 'anis', 'prabowo', 'lanjut', 'program', 'jokowi']",-7,negatif,-1,-1,negatif
prabowo gibran bekerja dengan hati yang tulus melanjutkan pembangunan yang sudah bagus di masa jokowi anies adalah pembicara ulung dengan segudang retorika ingat di belakang anis ada nasdem yang akhirquot ini sangat korup apakah mungkin jika anis terpilih membantah ucapan surya paloh jelas ada sebuah misi dari orangquot korup di blakang anis untuk menghilangkan jejak korup mereka sedangkan untuk ganjar putaran pertama di pastikan tumbang dan pada akhirnya mereka akan mendukung prabowo gibran kita lihat saja nanti,"['prabowo', 'gibran', 'hati', 'tulus', 'lanjut', 'bangun', 'bagus', 'jokowi', 'anies', 'bicara', 'ulung', 'gudang', 'retorika', 'anis', 'nasdem', 'akhirquot', 'korup', 'anis', 'pilih', 'ban', 'ucap', 'surya', 'paloh', 'misi', 'orangquot', 'korup', 'blakang', 'anis', 'hilang', 'jejak', 'korup', 'ganjar', 'putar', 'pasti', 'tumbang', 'dukung', 'prabowo', 'gibran', 'lihat']",-13,negatif,-1,1,positif
sebagai warga jakarta merasakan betul manfaat pak anis semoga beliau jadi presiden sehingga wilayah lainnya juga bisa mendapat manfaat dari pak anis 1 amin,"['warga', 'jakarta', 'rasa', 'manfaat', 'anis', 'moga', 'beliau', 'presiden', 'wilayah', 'manfaat', 'anis', '1', 'amin']",12,positif,1,1,positif
kebingungan apa anis saja enggak paham yang ada di papuadikira menyelesaikan teroris di papua sesederhana dan semanis omongannya anis kali ya,"['bingung', 'anis', 'paham', 'papuadikira', 'selesai', 'teroris', 'papua', 'sederhana', 'seman', 'omong', 'anis', 'kali', 'ya']",-9,negatif,-1,-1,negatif
ini komentar semua pak anis tabarakallaah,"['komentar', 'anis', 'tabarakallaah']",0,netral,0,0,netral
bismillah insyaallah anis president 2024amin,"['bismillah', 'insyaallah', 'anis', 'president', '2024amin']",6,positif,1,1,positif
bismillah anis aamiinbrsemoga kali ini bisa dapat pemimpin negara yang bisa mensejahterakan rakyat indonesia,"['bismillah', 'anis', 'aamiinbrsemoga', 'kali', 'pimpin', 'negara', 'sejahtera', 'rakyat', 'indonesia']",4,positif,1,1,positif
masyaallah pak anis kutakbisa berkata kata,"['masyaallah', 'anis', 'kutakbisa']",0,netral,0,1,positif
anis semuga jadi presiden ri ya rob amin,"['anis', 'semuga', 'presiden', 'ri', 'ya', 'rob', 'amin']",7,positif,1,1,positif
debat ini hanya dikuasai yang pintar mengomong tapi tidak bisa kerja contohnya sih anis baswedan,"['debat', 'asai', 'pintar', 'omong', 'kerja', 'contoh', 'sih', 'anis', 'baswedan']",1,positif,1,1,positif
bagaimana caranya mau bangun pak ganjar kalo hukum saja enggak diperbaiki mau dapat duid untuk membangun dari mana kalo koruptor malah diternak bukannya diperberat hukumannyabrtetep pilih pak anis membangun dari pokokknya dengan mperbaiki pokok hukumnya karena hukum itu pokok dalam pmrinthn,"['bangun', 'ganjar', 'kalo', 'hukum', 'baik', 'duid', 'bangun', 'kalo', 'koruptor', 'ternak', 'berat', 'hukumannyabrtetep', 'pilih', 'anis', 'bangun', 'pokokknya', 'mperbaiki', 'pokok', 'hukum', 'hukum', 'pokok', 'pmrinthn']",2,positif,1,1,positif
pintar banget pak anis semoga jadi peresiden 2024 amin,"['pintar', 'banget', 'anis', 'moga', 'residen', '2024', 'amin']",2,positif,1,1,positif
pak ganjar kayaknya mengomongnya tertata ya tapi aku ra mudeng mending pak anis,"['ganjar', 'kayak', 'omong', 'tata', 'ya', 'ra', 'mudeng', 'mending', 'anis']",-1,negatif,-1,-1,negatif
ngeri pak anis hilang sebelum pemilu,"['ngeri', 'anis', 'hilang', 'milu']",-5,negatif,-1,-1,negatif
kalau mbulet masak dapat penghargaan termasuk 20 orang berpengaruh dalam merubah dunia bilang saja kalau kecerdasan pak anis lebih di banding keduanya,"['mbulet', 'masak', 'harga', '20', 'orang', 'pengaruh', 'rubah', 'dunia', 'bilang', 'cerdas', 'anis', 'banding']",3,positif,1,1,positif
pak anis yang paling berbobot insya allah pak anis menaang,"['anis', 'bobot', 'insya', 'allah', 'anis', 'menaang']",2,positif,1,1,positif
pak anis memang hebat enggak kayak pragib kayak yang kebingungan di debat kali ini ada apa ya,"['anis', 'hebat', 'kayak', 'pragib', 'kayak', 'bingung', 'debat', 'kali', 'ya']",1,positif,1,1,positif
anis mengomong etikatapi dia nya enggak beretika,"['anis', 'omong', 'etikatapi', 'nya', 'etika']",-4,negatif,-1,-1,negatif
pak anis bagusbrcuman banyak omong doang huhu,"['anis', 'bagusbrcuman', 'omong', 'doang', 'huhu']",-4,negatif,-1,-1,negatif
semakin yakin untuk memilih anis,"['pilih', 'anis']",-2,negatif,-1,1,positif
anis kalo mengomong manis yaa manis banget tapi kalo mengomong doang sih gampang pak,"['anis', 'kalo', 'omong', 'manis', 'yaa', 'manis', 'banget', 'kalo', 'omong', 'doang', 'sih', 'gampang']",0,netral,0,-1,negatif
semoga semua penyelenggara dapat menyelenggarakan pilpres ini dengan adiljujur dan independenbrsehingga presiden terpilih benarbenar suara rakyat bukan suara kecuranganbrsetelah menyaksikan debat pilpres inihati nuraniku tertuju pada pak anis baswedanbrsemoga beliau terpilih dan bangsa indonesia aman tentram damai sentosa sejahterabraamiin,"['moga', 'selenggara', 'selenggara', 'pilpres', 'adiljujur', 'independenbrsehingga', 'presiden', 'pilih', 'benarbenar', 'suara', 'rakyat', 'suara', 'kecuranganbrsetelah', 'saksi', 'debat', 'pilpres', 'inihati', 'nurani', 'anis', 'baswedanbrsemoga', 'beliau', 'pilih', 'bangsa', 'indonesia', 'aman', 'tentram', 'damai', 'sentosa', 'sejahterabraamiin']",17,positif,1,1,positif
saya kok mumet ta dengar jawabane pak aniskl untuk masyarkaat seperti kami katakata nya sulit dimengerti,"['mumet', 'ta', 'dengar', 'jawabane', 'aniskl', 'masyarkaat', 'katakata', 'nya', 'sulit', 'erti']",-5,negatif,-1,-1,negatif
cerdas sekali semua argumen dari pak anis,"['cerdas', 'argumen', 'anis']",-4,negatif,-1,-1,negatif
kami siap mendukung dan mendoakan p anis semoga dimudahkan menjadi presiden indonesia,"['dukung', 'doa', 'p', 'anis', 'moga', 'mudah', 'presiden', 'indonesia']",11,positif,1,1,positif
statement anis memang berkualitas,"['statement', 'anis', 'kualitas']",4,positif,1,1,positif
bukan semangat juang tapi ambisi kekuasaan contoh pak surya paloh punya partai tapi enggak ambisi berkuasa karena ada yang lebih mampu yaitu pak anis,"['semangat', 'juang', 'ambisi', 'kuasa', 'contoh', 'surya', 'paloh', 'partai', 'ambisi', 'kuasa', 'anis']",17,positif,1,1,positif
pak anis keren banget dalam sesi tanya jawab dengan prabowo sampai prabowo bingung mau jawab apa,"['anis', 'keren', 'banget', 'sesi', 'prabowo', 'prabowo', 'bingung']",1,positif,1,1,positif
program kerja pak prabowo kok makin enggak jelas yah pandangan saya sih pak anis lebih jelas arah nya,"['program', 'kerja', 'prabowo', 'yah', 'pandang', 'sih', 'anis', 'arah', 'nya']",0,netral,0,1,positif
maafcuman mau bilangdari sekian banyaknya yang ber komentar di acara inipak anis yang lebih banyak di puji oleh netizenbukti kalau pak anis ais the best jadi ri1,"['maafcuman', 'bilangdari', 'sekian', 'banyak', 'ber', 'komentar', 'acara', 'inipak', 'anis', 'puji', 'netizenbukti', 'anis', 'ais', 'the', 'best', 'ri1']",4,positif,1,1,positif
itu di songkoknya pak anis apaan,"['songkok', 'anis']",0,netral,0,1,positif
bgagasan pak anis paling bagus dan menarik simpati rakyat indonesia semoga allah memberikan kemenangan kepada pasangan aminb,"['bgagasan', 'anis', 'bagus', 'tarik', 'simpati', 'rakyat', 'indonesia', 'moga', 'allah', 'menang', 'pasang', 'aminb']",9,positif,1,1,positif
memang pak anis orang yang pantas jadi presiden,"['anis', 'orang', 'presiden']",3,positif,1,1,positif
jawaban anis sangat manis bikin muka yang lain asem tapi semoga janji manis mu pak anis enggak bikin asem rakyatamin bismilah di bilik tps nanti aku akan memilih pak anis sambil trsnyum manis,"['anis', 'manis', 'bikin', 'muka', 'asem', 'moga', 'janji', 'manis', 'mu', 'anis', 'bikin', 'asem', 'rakyatamin', 'bismilah', 'bilik', 'tps', 'pilih', 'anis', 'trsnyum', 'manis']",5,positif,1,1,positif
apa yang disampaikan para calon presiden menunjukkan kualitas mereka nantinya memimpin bangsa ini pasangan amin melalui pak anis terlihat lebih meyakinkan,"['calon', 'presiden', 'kualitas', 'pimpin', 'bangsa', 'pasang', 'amin', 'anis']",11,positif,1,1,positif
prabowo jelas tidak siap didebat ini emosian dan selalu menyerang anis giliran diserang balik malah gelagapan dan emosional,"['prabowo', 'debat', 'emosi', 'serang', 'anis', 'gilir', 'serang', 'gelagap', 'emosional']",-8,negatif,-1,-1,negatif
bismillah kami warga pebayuran bekasi akan pilih anis baswedan insyaallah,"['bismillah', 'warga', 'bayur', 'bekas', 'pilih', 'anis', 'baswedan', 'insyaallah']",5,positif,1,1,positif
pak anis pintar bicara nol bukti brpak prabowo banyak bukti tapi tidak pandai bicarabrpak ganjar lihatlah masyarakat3y yang lama sudah merasakan,"['anis', 'pintar', 'bicara', 'nol', 'bukti', 'brpak', 'prabowo', 'bukti', 'pandai', 'bicarabrpak', 'ganjar', 'lihat', 'masyarakat3y', 'rasa']",-6,negatif,-1,-1,negatif
anisamin,['anisamin'],0,netral,0,0,netral
banyak yang suka pak anis karena sangat smart dan sangat menjanjjikansama seperti judi yang menjanjjikan kemenanganyang suka judi like nya mana,"['suka', 'anis', 'smart', 'menjanjjikansama', 'judi', 'menjanjjikan', 'kemenanganyang', 'suka', 'judi', 'like', 'nya']",4,positif,1,1,positif
anis no 1,"['anis', 'no', '1']",0,netral,0,1,positif
jika mau indonesia tidak ada progres ya pilih anis saat jadi gubernur jakarta banyak proyek mangkrak yang tidak dilanjutkan oleh anis seolah anis gengsi untuk melanjutkan program gubernur sebelumnya dan malah membuat programnya sendiri tapi apa program anis yang menonjol kebanyakan program anis itu tidak seindah perkataannya rumah dp 0 sumur resapan membuat proyek yang ujungnya dibongkar lagi lem aibon,"['indonesia', 'progres', 'ya', 'pilih', 'anis', 'gubernur', 'jakarta', 'proyek', 'mangkrak', 'lanjut', 'anis', 'anis', 'gengsi', 'lanjut', 'program', 'gubernur', 'program', 'program', 'anis', 'tonjol', 'banyak', 'program', 'anis', 'indah', 'kata', 'rumah', 'dp', '0', 'sumur', 'resap', 'proyek', 'ujung', 'bongkar', 'lem', 'aibon']",-3,negatif,-1,-1,negatif
prychannel lalu apa hubungannya dengan anis,"['prychannel', 'hubung', 'anis']",-2,negatif,-1,-1,negatif
anis dikerokin apa wowo ketika masuk angin mengeluarkan anggaran t buat beli jamu tolang angin,"['anis', 'dikerokin', 'wowo', 'masuk', 'angin', 'keluar', 'anggar', 't', 'beli', 'jamu', 'tolang', 'angin']",-4,negatif,-1,-1,negatif
semoga pak anis menjadi presiden yang amanah,"['moga', 'anis', 'presiden', 'amanah']",9,positif,1,1,positif
anis pintar sekali bersilat lidah,"['anis', 'pintar', 'silat', 'lidah']",0,netral,0,-1,negatif
pak anis pasti jadi presiden 2024 semoga amal sholeh nya menjadi barokah untuk rakyat indonesia,"['anis', 'presiden', '2024', 'moga', 'amal', 'sholeh', 'nya', 'barokah', 'rakyat', 'indonesia']",8,positif,1,1,positif
penonron enggak bisa tertib yabrmomen begini harusnya tenang tertib diam mulut nya mendengarkan simak baikquotfisi misi nya capres dan cawapresbrkayak bocil ajabrkalo saatnya nanti akan dikasih kesempatan buat triak yel kalianbrgemmeessbrcapres no urut 2santuuyy paakbrdisekmen ikn ini no urut 2 panas nampaknyabagaimana istana pemerintah mau dibangun ditengahquotkekurangan pupuk diseluruh indonesibrpak anis,"['penonron', 'tertib', 'yabrmomen', 'tenang', 'tertib', 'diam', 'mulut', 'nya', 'dengar', 'simak', 'baikquotfisi', 'misi', 'nya', 'capres', 'cawapresbrkayak', 'bocil', 'ajabrkalo', 'kasih', 'sempat', 'triak', 'yel', 'kalianbrgemmeessbrcapres', 'no', 'urut', '2santuuyy', 'paakbrdisekmen', 'ikn', 'no', 'urut', '2', 'panas', 'nampaknyabagaimana', 'istana', 'perintah', 'bangun', 'ditengahquotkekurangan', 'pupuk', 'seluruh', 'indonesibrpak', 'anis']",7,positif,1,1,positif
apa anis is the best,"['anis', 'is', 'the', 'best']",0,netral,0,0,netral
bismillah pak anis presiden berikutnya amin,"['bismillah', 'anis', 'presiden', 'amin']",7,positif,1,1,positif
masyarakat indonesia cerdas pasti pilih pemimpin yang berkualitas untuk bangsa yang besar debat pertama ini anis paling menonjol selain punya public speaking yang di atas ratarata memang sudah ada buktinya dan yang ditawarkan juga begitu konkrit seperti pembangunan stadion di 10 besar kota di indonesia salah satunya di makassar pulau sulawesi yang begitu kami rindukan stadion bertaraf internasional,"['masyarakat', 'indonesia', 'cerdas', 'pilih', 'pimpin', 'kualitas', 'bangsa', 'debat', 'anis', 'tonjol', 'public', 'speaking', 'ratarata', 'bukti', 'tawar', 'konkrit', 'bangun', 'stadion', '10', 'kota', 'indonesia', 'salah', 'satu', 'makassar', 'pulau', 'sulawesi', 'rindu', 'stadion', 'taraf', 'internasional']",-5,negatif,-1,-1,negatif
wakanda no more indonesia selamanya mantap pakanis,"['wakanda', 'no', 'more', 'indonesia', 'mantap', 'pakan']",5,positif,1,0,netral
anisemang mantap,"['anisemang', 'mantap']",5,positif,1,1,positif
bismillah anis baswedan,"['bismillah', 'anis', 'baswedan']",4,positif,1,1,positif
memang anis yang layak,"['anis', 'layak']",-2,negatif,-1,1,positif
kpu harus jujur bismillah pak anis baswedan,"['kpu', 'jujur', 'bismillah', 'anis', 'baswedan']",7,positif,1,1,positif
anis,['anis'],0,netral,0,1,positif
apa anis semoga allah swt memberikan kemudah dan kemenangan menjadi presiden 2024,"['anis', 'moga', 'allah', 'swt', 'mudah', 'menang', 'presiden', '2024']",11,positif,1,1,positif
anis pintar banget bahasa nya jadi ragu kalau anis tata bahasa bukan tata negara kota,"['anis', 'pintar', 'banget', 'bahasa', 'nya', 'ragu', 'anis', 'tata', 'bahasa', 'tata', 'negara', 'kota']",-9,negatif,-1,-1,negatif
dengan pemaparan anis yang seolah sempurna secara teori dan asumsi saya jadi lebih mantap memilih ganjarmahfud,"['papar', 'anis', 'sempurna', 'teori', 'asumsi', 'mantap', 'pilih', 'ganjarmahfud']",-3,negatif,-1,1,positif
pak anis pantas jadi presiden pak prabowo wakilnya saja jadi karena setingan instan pak ganjar tidak jelas langkah untuk menyelesaikan masalah,"['anis', 'presiden', 'prabowo', 'wakil', 'ting', 'instan', 'ganjar', 'langkah', 'selesai']",7,positif,1,1,positif
menurut saya anis pada saat menjelaskan visi dan misi tidak ada yang ada hanya menyerang kubuh lawan apakah visi misi anis hanya untuk menyerang lawan mikir,"['anis', 'visi', 'misi', 'serang', 'kubuh', 'lawan', 'visi', 'misi', 'anis', 'serang', 'lawan', 'mikir']",-11,negatif,-1,-1,negatif
dari semua kata2saya nilai anis terbaikorang cerdas bisa menilai semua inijadilah pemilih rasionalbukan pemilih fanatikapalagi ikut2tan gunakan akal sehat mu kejelian dalam menilai debat ini,"['kata2saya', 'nilai', 'anis', 'terbaikorang', 'cerdas', 'nilai', 'inijadilah', 'pilih', 'rasionalbukan', 'pilih', 'fanatikapalagi', 'ikut2tan', 'akal', 'sehat', 'mu', 'jeli', 'nilai', 'debat']",18,positif,1,1,positif
masya allah pak anis solu ala nabi semoga yang terbaik buat bangsa,"['masya', 'allah', 'anis', 'solu', 'ala', 'nabi', 'moga', 'baik', 'bangsa']",10,positif,1,1,positif
makassar sepakat mendukung anis,"['makassar', 'sepakat', 'dukung', 'anis']",8,positif,1,1,positif
anis baswedan presiden ri 2024 nomor 01 amin,"['anis', 'baswedan', 'presiden', 'ri', '2024', 'nomor', '01', 'amin']",3,positif,1,1,positif
terbayang bagaimana bangganya punya presiden pak anis saat hadir pidato di pbb,"['bayang', 'bangga', 'presiden', 'anis', 'hadir', 'pidato', 'pbb']",7,positif,1,1,positif
duh sudah enggak bisa berkata2 lagianis paket lengkap solutif santun berwibawa rekam jejak nya jelas terang benderang,"['duh', 'berkata2', 'lagianis', 'paket', 'lengkap', 'solutif', 'santun', 'wibawa', 'rekam', 'jejak', 'nya', 'terang', 'benderang']",-4,negatif,-1,1,positif
hidup pak anisbravo,"['hidup', 'anisbravo']",-2,negatif,-1,-1,negatif
sudah jelas yang sangat ber wawasan adalah pak anis,"['ber', 'wawas', 'anis']",0,netral,0,1,positif
wkwk baca komen an buzzer semuakalian pada dibayar brapa anis omong doang kerja nyata 0 kok wkwk mengakak,"['wkwk', 'baca', 'komen', 'an', 'buzzer', 'semuakalian', 'bayar', 'brapa', 'anis', 'omong', 'doang', 'kerja', 'nyata', '0', 'wkwk', 'akak']",0,netral,0,-1,negatif
bismillah apa anis jadi presiden,"['bismillah', 'anis', 'presiden']",7,positif,1,1,positif
insyaallah pak anis presiden,"['insyaallah', 'anis', 'presiden']",5,positif,1,1,positif
masa depan indonesia cerah jika pemimpinnya jelas seperti pak anis,"['indonesia', 'cerah', 'pimpin', 'anis']",0,netral,0,1,positif
pak anis cocoknya jadi penasihat sajatapi kalau tindakannyatidak ada,"['anis', 'cocok', 'nasihat', 'sajatapi', 'tindakannyatidak']",-2,negatif,-1,1,positif
merinding mendengar statement pak presiden anis dari hati dan semoga membawa perubahan yang lebih baik,"['merinding', 'dengar', 'statement', 'presiden', 'anis', 'hati', 'moga', 'bawa', 'ubah']",1,positif,1,1,positif
pak anis,['anis'],0,netral,0,1,positif
anis kerreennamin menang allaahu akbar,"['anis', 'kerreennamin', 'menang', 'allaahu', 'akbar']",-1,negatif,-1,-1,negatif
yang bagus visi dan misinya kedepan hanya jawaban pak anis yang lainnya hanya berulangulang dari halhal yang lama,"['bagus', 'visi', 'misi', 'depan', 'anis', 'berulangulang', 'halhal']",0,netral,0,1,positif
di sini sudah terlihat jls mana yang pantas jadi presiden anis lah yang paling cocok jadi presiden 2024 jwbannya paling sesuai,"['jls', 'presiden', 'anis', 'cocok', 'presiden', '2024', 'jwbannya', 'sesuai']",10,positif,1,1,positif
